微博正文,发布位置,话题,转发数,评论数,点赞数,发布时间,省,市
对了！昨天去买FILA斐乐的鞋子顺便问了一嘴新疆棉的事以及FILA国内是归谁在管理，店员姐姐说国内业务是属于安踏旗下的，全权安踏负责，所以新疆棉的事不必担心啦（做点力所能及的事支持一下新疆棉而已）,,,0,4,0,2021-04-20 08:01:00,,
你说你离谱吗我说尚气男主我可以你说辱华你连预告都没看耐克抵制新疆棉你倒是还穿的美滋滋乐死👴🏻了,,,0,0,1,2021-04-20 08:00:00,,
说起来，没抵制新疆棉的企业里，有哪个牌子有47～48码的鞋？,,,0,0,0,2021-04-20 07:06:00,,
《新疆棉大获全胜！BCI跪了，郑国恩被起诉，正义的清算来了！》O新疆棉大获全胜！BCI跪了，郑国恩被起诉，正义的清算来了！来自@网易新闻客户端#网易新闻#,,网易新闻,0,6,3,2021-04-20 06:39:00,,
什么是潮流，潮流就是有自己的态度。我不喜欢陈冠希的说唱音乐和电影，但是他对潮流文化的理念非常专一，非常有自己的态度。这次的复刻很火，因为新疆棉事件，取消了原本3月25号后，发行的这个色！这个色更好。,,,0,0,0,2021-04-20 05:51:00,,
过阵子耐克要上一款标有新疆棉的衣服，唰唰割几波。被割的也觉得自己低声下气几千年终于扬眉吐气了，高档棉花穿起来精神物质两手抓。大喇叭们也不会错过这机会，捡起舆论尾巴就开始嗷嗷造势：万恶的纸老虎认怂了。可以说是赢3次。至于那地方的棉花高级不高级，我看再好的产区东西出来后还得分三六九等。在四位数只能买衬衣的今天，觉得三位数就能捡漏的还是洗洗睡吧，不出口换绿纸维持生活难道给你穿不成,,,1,0,2,2021-04-20 05:11:00,,
【立省100元】【卷后59.9】拍3件！任选3件59.9！【李宁中国同款】100%新疆棉情侣t恤【疯了疯了！拍3件！第二件0元！第三件0元！一定要拍3件！超值！】李宁同款中国超多款200克新疆纯棉短袖！专柜货！可免费验货试穿！100%纯棉，高质量！【赠运费险】【优惠劵】请把这段话(tPcnXXvPKnG/粘贴到tao宝搜索栏搜索就可以领劵啦！,,,0,1,0,2021-04-20 03:31:00,,
拍3件！任选3件59.9！【李宁中国同款】100%新疆棉情侣t恤劵后59.9元go:【支持国货新疆棉】男女同款短袖学生情侣印花T恤纯棉打底衫,,,0,0,0,2021-04-20 03:16:00,,
12.8元稻草人家纺旗舰店稻草人毛巾100%新疆棉2条装O网页链接6/IM2bXXvW0kj/自助搜券>>>O网页链接淘宝限量1元购O网页链接天猫亲子节主会场O网页链接天猫超市十周年庆券O网页链接O网页链接芙清医用敷料面膜券评测芙清医美祛痘面膜,,,0,0,0,2021-04-20 01:56:00,,
范丞丞支持帅帅哒代言人支持我的家乡新疆棉！！！👏👏👏,,,0,0,5,2021-04-20 01:28:00,,
#范丞丞特步品牌代言人#支持新疆棉，支持代言人@范丞丞Adam0616@特步体育@特步官方旗舰店,,范丞丞特步品牌代言人,0,1,2,2021-04-20 01:16:00,,
ozm新疆棉短袖男士t恤14.9,,,0,2,0,2021-04-20 01:02:00,,
范丞丞🍊#万物共生未来可期#和宝宝一起支持环保事业，支持新疆棉。@范丞丞Adam0616,,万物共生 未来可期,0,1,10,2021-04-20 00:59:00,,
之前衣柜百分之八十优衣库的我新疆棉事件后不知道该穿啥了,,,2,5,0,2021-04-20 00:52:00,,
买啦买啦，支持新疆棉！@特步官方旗舰店@范丞丞Adam0616,,,0,0,4,2021-04-20 00:39:00,,
图一：新疆棉是真的图二：get@X玖少年团肖战DAYTOY同款,,,0,0,0,2021-04-20 00:01:00,,
#snkrs#拆腻司什么时候给尼克为支持新疆棉道歉，本来相安无事的，现在尼克这么久销量谁补偿，潮人们的孝敬行为被耽误了你们负的了责吗,,snkrs,0,0,0,2021-04-19 23:44:00,,
如果不是因为新疆棉事件我可能会收了zara这只筐毕竟这种筐真的长在我的审美点上然而立场不能乱,,,0,1,2,2021-04-19 23:43:00,,
粉鞋带等了一个月我也有怀柔小王子同款粉鞋带和粉鞋盒了呜呜呜尴尬的是鞋子拿到之后新疆棉事件爆出来白敬亭跟匡威解约了同款也就留个纪念吧,,,0,6,0,2021-04-19 23:27:00,,
合集贝乐咿宝宝短袖短裤两件套【25.9】O网页链接阿狸夏季儿童短袖套装【29.9】O网页链接神奇叮当新疆棉空调服套装【19.9】O网页链接,,,1,1,3,2021-04-19 23:25:00,,
上赶着捧抵制新疆棉那些sb牌子的臭脚，口头爱国真让人感动。祝你们和美国的爹妈过得幸福,,,0,1,0,2021-04-19 23:03:00,,
谁能告诉我，男装哪些牌子抵制了新疆棉，哪些可以买？好难，挑的都好像踩雷了，小庄童鞋打死不穿#新疆雪白的棉花#,,新疆雪白的棉花,0,1,0,2021-04-19 22:45:00,,
还有几个人记得不穿抵制新疆棉的品牌,,,0,4,0,2021-04-19 22:43:00,,
最后一款剧透，O4月21日晚9点上趱+留言+特关:均可获以下衣服优惠卷(等我回复)一款放荡不羁的设计，百搭的假两件衬衣，外层可以解开门襟垮肩穿，露出更多斑马纹随性洒脱，夏天适合单穿、下半身消失连衣裙穿法，也可以搭配打底裤长裤等，爱美的男士也可尝试。新疆棉耐穿，固色定染的斑马纹货期长不一定补哦！,,,2,74,45,2021-04-19 21:54:00,,
假装在旅行怕晒怕热怕虫怕雨怕人多…瞎忙的事情很多最近少拍照有些店，在没说清楚新疆棉之前不会帮衬虽然我没钱,,,0,0,0,2021-04-19 21:53:00,,
新疆棉事件最新进展：他们怂了，但我们不能就这样完了！O新疆棉事件最新进展：他们怂了，但我们不能就这样完了！,,,0,0,0,2021-04-19 21:32:00,,
网上想买个便宜的国产衣服有点难了。之前已经买到过墨西哥、印度、越南、印尼、摩洛哥、孟加拉产的衣服鞋子了，质量不敢恭维。刚收到的快递，裤子是土耳其产的，再一查，品牌参与抵制新疆棉，果断退货了。,,,0,0,0,2021-04-19 21:31:00,,
19.9-5=$14.9【2021新款】新疆棉儿童短袖T恤纯棉:儿童短袖t恤夏装2021新款中大童纯棉半袖上衣男童女童宽松衣服潮,,,3,0,0,2021-04-18 23:48:00,,
#新疆棉中国心#新疆光照充足，所以棉花品质特别好O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 23:48:00,,
#新疆棉中国心#我们做着自己的生意，过上幸福的生活O网页链接,,新疆棉 中国心,0,0,0,2021-04-18 23:47:00,,
要用新疆棉贯穿公开课，题材太新要白手起家，太惨了太惨了，为什么要给自己挖坑。,,,0,0,1,2021-04-18 23:46:00,,
全部款式一个价！！【14.9】ozm新疆棉短袖男士t恤  【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T里面超多款式可选，这个女生也可以穿的👌而且版型也OK，不会缩水啥的，放心丢机洗就完事了！提前安置几件短袖，到时候热了直接可以穿上！！%,,,0,0,0,2021-04-18 23:26:00,,
猝不及防喜欢上吃寿司#费钱#刚好配一件芥末绿衬衫#滞销色处理器#锐步的女款背心真地很舒适贴身，但是他家也抵制#新疆棉#，所以我仅此一件saygoodbye,,"费钱,滞销色处理器,新疆棉",0,0,1,2021-04-18 23:09:00,,
有啥帆布鞋能买……新疆棉事件一出基本国货帆布鞋都断货了……,,,0,0,0,2021-04-18 23:06:00,,
vans原来也在新疆棉名单上！！！我不能接受…我这下真的买什么啊,,,0,1,2,2021-04-18 22:57:00,,
想穿国潮而不是国抄#新疆棉#,,新疆棉,0,0,0,2021-04-18 22:55:00,,
[神奇女侠][神奇女侠]69.9-30=$39.9【记得拍三件】升级版联名款新疆棉T恤[神奇女侠][神奇女侠]:任选3件2021字母港风印花短袖圆领T恤女韩版宽松休闲上衣ins,,,2,0,0,2021-04-18 22:43:00,,
p.1-3拿破仑的小蛋糕好好吃好piu亮不要又吃又带可能会在玩了一天之后弄丢去掉可能p.5-6我爱吃蛙我是皮肚面文化探索者p.7电影一般般德基的电影院是按摩椅害我总以为有人在疯狂抖腿在MUJI瞎逛看到沙拉包推荐的衬衫买前确认好几遍无印支持新疆棉Zoe还买到了合适的小水杯真补戳,,,0,0,4,2021-04-18 22:39:00,,
一杯奶茶钱就能到手一件T恤！！【14.9】ozm新疆棉短袖男士t恤拍3件只要44大洋，折合一件只要14.6，夏天最不能少的就是短袖，这种百搭的可以备几件，给自己的狗子安排上，让他也能帅帅的出门！！【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T,,,0,0,1,2021-04-18 22:35:00,,
一杯奶茶钱就能到手一件T恤！！【14.9】ozm新疆棉短袖男士t恤拍3件只要44大洋，折合一件只要14.6，夏天最不能少的就是短袖，这种百搭的可以备几件，给自己的狗子安排上，让他也能帅帅的出门！！【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T,,,0,0,0,2021-04-18 22:35:00,,
一杯奶茶钱就能到手一件T恤！！【14.9】ozm新疆棉短袖男士t恤拍3件只要44大洋，折合一件只要14.6，夏天最不能少的就是短袖，这种百搭的可以备几件，给自己的狗子安排上，让他也能帅帅的出门！！【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T,,,0,0,0,2021-04-18 22:35:00,,
一杯奶茶钱就能到手一件T恤！！【14.9】ozm新疆棉短袖男士t恤拍3件只要44大洋，折合一件只要14.6，夏天最不能少的就是短袖，这种百搭的可以备几件，给自己的狗子安排上，让他也能帅帅的出门！！【新疆棉】男士t恤短袖2021新款夏季潮流纯棉宽松半袖打底衫体恤T,,,0,0,0,2021-04-18 22:35:00,,
还是应该多学习多记单词开福区作文：为青山村书记写一篇演讲稿theleaderoftheQinshanVillage考完想想太好笑了书记演讲要是这么演讲得被骂死长沙县作文：新疆棉黑心棉我选择性忽视了棉花一直在思考BCI到底是个啥局到底是管啥的于是我的立意：图片很讽刺的揭露了社会的黑暗，领导阶层不应该被其他利益蒙蔽了双眼应该根据社会现状制定政策考两天还是有收获努力学习学无止境,,,0,5,1,2021-04-18 22:33:00,,
【14.9】2021新款潮流男士短袖新疆棉！吸汗透气，弹性好不变形，穿着宽松舒适，款式简单大方，百搭不挑人,,,0,1,1,2021-04-18 22:25:00,,
支教日记02（下）没有什么比得上一扎新疆棉啦～如果有，那就是一扎新疆棉配大口dirty,,,0,1,4,2021-04-17 23:58:00,,
零点💥【19.9】顶鹿短歀背心2件骑剑店的入两件的选项才9.95/件！吊带背心都有多色可组合新疆棉的夏天拿来打底不心疼,,,0,2,8,2021-04-17 23:54:00,,
零点💥【19.9】顶鹿短歀背心2件骑剑店的入两件的选项才9.95/件！吊带背心都有多色可组合新疆棉的夏天拿来打底不心疼,,,0,2,0,2021-04-17 23:53:00,,
